CODI_CAPA;NOM_CAPA_CAT;NOM_CAPA_CAST;NOM_CAPA_ANG;LATITUD;LONGITUD;EQUIPAMENT;TELEFON;ADRECA
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39340947409322;2.1126464684498547;BUS -22-63-68-75-78--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.3859269627153;2.112812499042896;BUS -L14--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40377768907855;2.1126520107547297;BUS -130--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40377568411847;2.1127914847928078;BUS -66--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.37819001360927;2.1131722822608117;BUS -D20--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.395158332508124;2.1129679280198514;BUS -22-63-68-75-78--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.3950647665089;2.1130782450110197;BUS -22-63-68-75-78--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.391803998147225;2.11336625743301;BUS -54--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.3917870599216;2.1135363981328696;BUS -54-113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40251405348785;2.1134845119883185;BUS -130--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.418559342386224;2.1134702211359953;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.33244177805202;2.1148057504598703;BUS -PR4--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38661186961182;2.1141235652602304;BUS -60-67-L97-L79--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.41854181573084;2.1137066130003404;BUS -111--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40314190824833;2.1142479645843393;BUS -66-130--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.3321877923474;2.1155334553368714;BUS -PR4--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.402855531869896;2.1146549826196814;BUS -130--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.383904209040885;2.115066146232949;BUS -54--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38668534099635;2.1150901151782224;BUS -H6--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.37869312039867;2.1153419708791024;BUS -D20--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.397706737017344;2.115185858066557;BUS -101--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.38328787766279;2.115451271034124;BUS -54-113--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39201680751687;2.1153882686922145;BUS -54--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.389428940617435;2.1154354797155315;BUS -33-60--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.397861440914184;2.115381546638999;BUS -22-68-75--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.39743118551969;2.115413805848817;BUS -64--;;
K014;Autobusos diürns;Autobuses diurnos;Day buses;41.40330762966652;2.115369822074033;BUS -34--;;
